1,"裡面;左邊;上面;右邊;下面;周圍;外面"
3,"孫子;男孩;父親;祖父;男人;兒子;兄弟"
3,"十年;春;秋;百年;夏;冬;一年"
3,"密度;深度;寬度;重量;體積;強度;高度"
3,"軍刀;劍;匕orig匕匕首;菜刀;解剖刀;美工刀;武士刀"
3,"淤泥;泥巴;黏土;灰塵;礫石;堆肥;沙子"
3,"歷史小說;科幻小說;奇幻小說;愛情小說;推理小說;恐怖小說;冒險小說"
3,"磁磚地板;水泥地板;地毯;波斯地毯;磨石子地毯;木地板;大理石地板"
3,"跳高;跳遠;撐竿跳;丟鏈球;擲標槍;丟鐵餅;丟鉛球"
3,"手提箱;公事包;背包;手提袋;購物袋;隨身包;錢包"
3,"金星;土星;水星;木星;火星;天王星;地球"
3,"地瓜葉;空心菜;韭菜;芥藍菜;茼蒿;菠菜;莧菜"
3,"木筏;橡皮艇;遊艇;帆船;海釣船;水上摩托車;獨木舟"
3,"同學;熟人;鄰居;同事;上司;親戚;部屬"
3,"七月;五月;十月;四月;九月;八月;六月"
3,"離婚;結婚;畢業;退休;受洗;葬禮;剃度"
3,"高興;驚訝;滿足;生氣;好奇;苦惱;傷心"
3,"蚵仔麵線;臭豆腐;泡麵;豬腳麵線;餛飩麵;豬排麵;榨菜肉絲麵"
3,"快餐車;休旅車;小貨車;箱型車;敞篷車;跑車;轎車"
3,"蒸汽船;郵輪;戰艦;郵輪;航空母艦;郵輪;遠洋漁船"
3,"唐吉軻德;亞瑟王;后羿;虎克船長;呂濱遜;摩西;夸父"
3,"小吃店;咖啡館;酒吧;簡餐店;餐廳;旅館;夜店"
3,"女孩;孫女;女人;母親;祖母;女兒;姊妹"
3,"公寓;公寓大樓;銀行;辦公大樓;摩天大樓;透天洋房;商店"
3,"轉彎;開車;前進;剎車;加速;停止;減速"
3,"渡假;自助旅行;移民;健行;一日遊;商務旅行;野餐"
3,"鐵捲門;旋轉門;後門;自動門;前門;寵物們;車庫門"
3,"電話簿;摺頁冊;型錄;手冊;教科書;報紙;雜誌"
3,"日光浴;漂浮;游泳;玩水;潛水;洗澡;狗爬式游泳"
3,"纜車;巴士;捷運;計程車;公車;火車;高鐵"
3,"孫悟空;豬八戒;二郎神君;哪吒;沙悟淨;如來佛;唐三藏"
3,"山貓;灰狼;黑豹;狐狸;鬣狗;老虎;穿山甲"
3,"卡卡頌;拔毛運動會;卡坦島;誰是牛頭王;矮人礦坑;閃靈快手;嘿！我的魚！"
3,"大廈;土地公廟;大教堂;城堡;清真寺;寺廟;宮廟"
3,"豎笛;小號;長號;低音笛;短笛;法國號;長笛"
3,"牧場;麥田;空地;玉米田;稻田;草地;伐木後空地"
3,"支票;信用卡;駕照;門票;鈔票;收據;郵票"
3,"防腐劑;除臭劑;乳液;殺蟲劑;漱口水;牙膏;防曬油"
3,"洗碗精;肥皂;刮鬍膏;液態皂;洗衣精;香水;洗髮精"
3,"辮子;金髮;紅髮;直髮;灰髮;捲髮;黑髮"
3,"百貨公司;養老院;精神病院;學校;市政廳;戲院;火車站"
3,"穴居人;流浪漢;隱士;食人族;黑猩猩;猴子;魯賓遜"
3,"青苔;蕈菇;發霉;海藻;地衣;黴菌;海帶"
3,"閒逛;睡覺;匍匐前進;休息;昏倒;仰臥;死亡"
3,"昨天;今天;下週;週末;明天;一週;一天"
3,"樹林;苗圃;植物園;樹籬;深山老林;森林;果園"
3,"慶生會;婚宴;喬遷派對;成年禮;慶典;舞會;戶外音樂會"
3,"演講;戲劇;記者招待會;歌劇;展覽;歌舞劇;音樂會"
3,"紅磚;尼龍;羊毛;皮革;水泥;棉花;土磚"
3,"化學;物理;地理;數學;英文;歷史;生物"
3,"扒手;綁架犯;恐怖分子;強盜;走私犯;小偷;劫機犯"
